ID;Rules in Qradar;log source;enabled;created;modified;category;criticality;Rule;BB;BB2;BB3;BB4;BB5;SYSMON
1;Multiple_Account_Unlock_by_One_User_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1078;Medium;INC_0000100_common:Multiple_Account_Unlock_by_One_User_Windows;BB_eventype:UserUnlock_Windows;;;;;no
2;Multiple_Account_Password_Reset_by_One_User_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1098;High;INC_0000200_common:Multiple_Account_Password_Reset_by_One_User_Windows;BB_eventype:UserPassReset;;;;;no
3;Spawning_Cmd_by_MS_Office_App_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1204.002 T1059.003;High;INC_0001000_common:Spawning_Cmd_by_MS_Office_App_Windows;BB_eventtype:ProcessCreate;BB_common:MS_Office_Process_as_Parent_Windows;;;;no
4;Spawning_Powershell_by_MS_Office_App_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1204.002 T1059.001;High;INC_0001100_common:Spawning_Powershell_by_MS_Office_App_Windows;BB_eventtype:ProcessCreate;BB_common:MS_Office_Process_as_Parent_Windows;BB_common:Powershell_by_Process;;;no
5;Whoami_Executed_as_System_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-12-05;T1033 T1078;Medium;INC_0002100_common:Whoami_Executed_as_System_Windows;BB_eventtype:ProcessCreate;BB_eventtype:ProcessCreate_Sysmon;BB_common:Whoami_Tool_Windows;BB_common:Run_as_System_Windows;;yes
6;Using_REG_to_Dump_Sensitive_Registry_Hives_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1003.002;Medium;INC_0002400_common:Using_REG_to_Dump_Sensitive_Registry_Hives_Windows;BB_common:Reg_Tool_Windows;BB_eventtype:Cmdline;;;;yes
7;Execute_Remote_Script_via_Regsvr32_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1218.010;High;INC_0018700_common:Execute_Remote_Script_via_Regsvr32_Windows;BB_common:Regsvr32_Tool_Windows;BB_eventtype:Cmdline;;;;yes
8;Using_Mshta_To_Run_hta_From_URL_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1218.005;High;INC_0018900_common:Using_Mshta_To_Run_hta_From_URL_Windows;BB_common:Mshta_Tool_Windows;BB_eventtype:Cmdline;;;;yes
9;Execute_Inline_Script_Using_Rundll32_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1218.011;High;INC_0019000_common:Execute_Inline_Script_Using_Rundll32_Windows;BB_common:Rundll32_Tool_Windows;BB_eventtype:Cmdline;;;;yes
10;Using_Rundll32_to_Invoke_Function_by_Ordinal_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1218.011;Medium;INC_0019100_common:Using_Rundll32_to_Invoke_Function_by_Ordinal_Windows;BB_common:Rundll32_Tool_Windows;BB_eventtype:Cmdline;;;;yes
11;Execute_File_Named_Similar_to_System_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2025-03-08;T1036;High;INC_0021100_common:Execute_File_Named_Similar_to_System_Windows;BB_eventtype:ProcessCreate;;;;;no
12;Suspicious_Powershell_Base64encoded_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1059.001 T1027;High;INC_0021900_common:Suspicious_Powershell_Base64encoded_Windows;BB_common:Powershell_by_Process;BB_eventtype:Cmdline;;;;no
13;Suspicious_Certutil_Base64_Decode_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1140 T1059;Medium;INC_0022500_common:Suspicious_Certutil_Base64_Decode_Windows;BB_common:Certutil_Tool_Windows;BB_eventtype:Cmdline;;;;yes
14;Tool_Ruler_was_Detected_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1078 T1199;Medium;INC_0022700_common:Tool_Ruler_was_Detected_Windows;BB_eventtype:ProcessCreate;;;;;no
